"external_gene_name","log2FC","FDR"
"WASH7P",1.82358804960789,0.0188596906197054
"AL627309.5",1.1904506532506,0.0158490124562301
"WASH9P",0.921089182641444,0.0384066306454377
"AP006222.1",-0.0644563836013641,0.927175473604263
"AL732372.2",1.65172317664973,0.00627642346553636
"AL669831.3",2.32336818915828,0.0220723539890681
"MTND1P23",0.326547414060513,0.713382648289875
"MTND2P28",0.0588198167068397,0.840069375604873
"MTATP6P1",0.575843610651267,0.000477383213098086
"AL669831.1",0.0126856104378658,0.976590199964456
"LINC01409",2.30831252924708,0.000158422873453511
"LINC01128",0.559747370639896,0.254752612723252
"LINC00115",3.49605927538727,4.03751449364123e-05
"LINC02593",0.94302653070293,0.157409849490445
"SAMD11",-0.412911239756163,0.367548382677547
"NOC2L",-1.34703738402315,0.000112552832750447
"KLHL17",0.312940192037102,0.514313977403083
"AL645608.7",3.09695494385281,0.00052703303724422
"HES4",1.04395853452017,0.0208872231920608
"ISG15",4.12751416118649,8.39595933361509e-06
"AGRN",0.99513943099083,8.36249958156715e-05
"AL390719.1",3.07189586536314,2.72241787738128e-05
"C1orf159",-0.777073372718205,0.211083918238893
"AL390719.2",4.81264862133581,0.000620570459552225
"SDF4",-1.06682897780933,0.00028712613031563
"B3GALT6",-0.135276348525723,0.588873398340084
"UBE2J2",0.248926581976445,0.374058777871336
"ACAP3",-1.11089712888353,0.011866569002937
"PUSL1",-0.651566840879935,0.0847009951095537
"INTS11",-0.673796437062474,0.0060857819041429
"CPTP",-0.719184909191621,0.0850288010239316
"DVL1",0.424319113718865,0.122315528358587
"AURKAIP1",-1.67329104244943,6.85339324033097e-05
"CCNL2",-0.251997128085628,0.111087942614664
"MRPL20-AS1",0.186672794576036,0.599569659494093
"MRPL20",-1.14190572123364,0.000269988528228585
"AL391244.2",2.73840061012086,1.46612264809818e-05
"VWA1",-1.47895454997546,0.00124831000131339
"ATAD3B",-1.33887535194218,0.0317449072157271
"ATAD3A",-1.5067140261567,0.00119892746755037
"SSU72",0.162407504131659,0.256627268503961
"AL645728.1",0.829598097943869,0.101980801296417
"FNDC10",-1.71237688847025,0.021527450270361
"AL691432.2",2.27400648625252,0.000697606591890915
"MIB2",0.0590092525127905,0.895322730943499
"CDK11B",0.0664983279251013,0.739333433114869
"SLC35E2B",-0.64622854968862,0.00530695837249138
"CDK11A",1.1020462519881,0.00207953051984758
"AL031282.2",-0.391915869738029,0.391416631913965
"SLC35E2A",-1.37813166824068,0.00336774745479724
"NADK",0.0416132289799525,0.933421623611727
"GNB1",-0.406470560164641,0.0173314507150628
"PRKCZ",-0.163496406432237,0.675337323013748
"FAAP20",-1.02704463164151,0.0276940098587484
"SKI",-0.158036554266784,0.78948819257213
"MORN1",-0.616963188688102,0.252634243431269
"RER1",-1.04296833548411,0.000196279617280692
"PEX10",-0.213057493650615,0.352104342291888
"PANK4",0.768215825047587,0.103324671444671
"PRXL2B",-2.04092614059104,0.00590833732806256
"ARHGEF16",-0.244817541165764,0.633454113408578
"MEGF6",-1.10768220537441,0.0969691554605098
"TPRG1L",-1.32325535687858,0.000268528130872261
"WRAP73",0.273719628048583,0.358595175629972
"TP73-AS1",0.055615359564708,0.880937247419685
"LRRC47",-0.0799059590847736,0.683627893821796
"CEP104",-1.2894382484311,0.0183031304084361
"DFFB",0.407367547465743,0.244273654779508
"C1orf174",0.617582113931351,0.0334271423559673
"AL805961.1",1.90313694498301,0.0082707597734226
"NPHP4",-0.619356741362461,0.131416025529888
"KCNAB2",-1.31390440811875,0.0103824920755038
"RPL22",-0.676419554306859,0.000737957326091414
"RNF207",0.200697195872854,0.689796169868702
"ICMT",-1.38065558508509,8.51209337510042e-05
"GPR153",-0.901501075229099,0.0651055342069194
"ACOT7",-1.46123100591823,0.000118081848582149
"HES2",-1.12479804429687,0.0249638734336574
"NOL9",0.754553415987478,0.013556186697588
"ZBTB48",0.35269632581786,0.184356494345683
"KLHL21",0.257053334147193,0.165152902602108
"PHF13",1.07143477579905,0.00100078131941262
"THAP3",2.05252300207471,3.73682314350254e-05
"DNAJC11",-0.420203014140069,0.108030056121248
"CAMTA1",0.310618546085801,0.142037476526431
"VAMP3",-0.471424690788095,0.30683348893683
"PER3",3.25014415045831,8.02029312996326e-05
"TNFRSF9",2.84126536538193,9.13794102686322e-06
"PARK7",-1.05710719580597,0.000228333476644085
"ERRFI1",1.46459340308354,4.21734681739454e-05
"SLC45A1",-0.368536067776866,0.256552585501981
"RERE",1.3787403058938,0.0398373347401803
"ENO1",-1.48893789608803,5.30742390586717e-06
"SLC2A5",1.13372325238047,0.154936797533155
"GPR157",-1.46910646506685,0.0392627993140237
"MIR34AHG",0.835859015420038,0.0032505095339412
"LNCTAM34A",-0.569639142666178,0.134392845885247
"H6PD",-0.729247183995629,0.00205407734570082
"SPSB1",0.558129370942565,0.0883146786363538
"SLC25A33",1.05800568853037,0.0188784961616622
"TMEM201",-0.646040101458707,0.180416820504384
"PIK3CD",0.778409795950594,0.0384990341366474
"PIK3CD-AS2",0.308021545118522,0.470161975156029
"CLSTN1",-0.629226575528472,0.00126398918727915
"CTNNBIP1",-0.795913800451421,0.113255548299983
"LZIC",-0.0292223527272062,0.92691895580219
"NMNAT1",-0.468320766479154,0.137452957551728
