""	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Probes"	"Symbol"	"Ensembl_id"	"Biotype1"	"Biotype2"	"Synonyms"	"Platform"
"244050_at"	2.71e-10	1.98e-14	9.88792743	22.4503331	0.723	"244050_at"	"HACD4"	"ENSG00000188921"	"gene"	"protein_coding"	"HACD4"	"GPL570"
"202623_at"	2.73e-10	2.5e-14	9.82901729	22.2295134	0.502	"202623_at"	"EAPP"	"ENSG00000129518"	"gene"	"protein_coding"	"EAPP"	"GPL570"
"206592_s_at"	2.81e-10	3.19e-14	-9.76676603	21.9957834	-0.384	"206592_s_at"	"AP3D1"	"ENST00000589223|ENST00000585652|ENSG00000065000"	"lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|protein_coding"	"AP3D1-205|AP3D1-202|AP3D1"	"GPL570"
"225097_at"	2.81e-10	3.6e-14	-9.73531127	21.8775338	-0.433	"225097_at"	"HIPK2"	"ENSG00000064393"	"gene"	"protein_coding"	"HIPK2"	"GPL570"
"207966_s_at"	4.84e-10	8.43e-14	-9.51907018	21.0619847	-0.689	"207966_s_at"	"GLG1"	"ENSG00000090863"	"gene"	"protein_coding"	"GLG1"	"GPL570"
"227305_s_at"	4.84e-10	9.03e-14	-9.50174278	20.9964421	-0.355	"227305_s_at"	"SMCR8"	"ENSG00000176994"	"gene"	"protein_coding"	"SMCR8"	"GPL570"
"207760_s_at"	4.84e-10	9.75e-14	-9.48232478	20.9229587	-0.49	"207760_s_at"	"NCOR2"	"ENSG00000196498"	"gene"	"protein_coding"	"NCOR2"	"GPL570"
"213360_s_at"	5.37e-10	1.23e-13	-9.42277792	20.6974009	-0.526	"213360_s_at"	"POM121"	"ENSG00000196313"	"gene"	"protein_coding"	"POM121"	"GPL570"
"221474_at"	5.37e-10	1.28e-13	9.41353309	20.6623536	0.399	"221474_at"	"MYL12B"	"ENSG00000118680"	"gene"	"protein_coding"	"MYL12B"	"GPL570"
"203535_at"	6.64e-10	1.7e-13	9.34112829	20.3876036	0.629	"203535_at"	"S100A9"	"ENSG00000163220"	"gene"	"protein_coding"	"S100A9"	"GPL570"
"208659_at"	6.7e-10	1.85e-13	9.32028925	20.3084418	0.476	"208659_at"	"CLIC1"	"ENSG00000213719"	"gene"	"protein_coding"	"CLIC1"	"GPL570"
"202631_s_at"	6.7e-10	1.96e-13	9.30514965	20.2509071	0.573	"202631_s_at"	"APPBP2"	"ENSG00000062725"	"gene"	"protein_coding"	"APPBP2"	"GPL570"
"216306_x_at"	6.98e-10	2.26e-13	-9.26902208	20.1135332	-0.362	"216306_x_at"	"PTBP1"	"ENSG00000011304"	"gene"	"protein_coding"	"PTBP1"	"GPL570"
"225157_at"	7.2e-10	2.51e-13	-9.24348453	20.0163609	-0.474	"225157_at"	"MLXIP"	"ENSG00000175727"	"gene"	"protein_coding"	"MLXIP"	"GPL570"
"212082_s_at"	7.39e-10	2.71e-13	9.22412333	19.9426538	0.63	"212082_s_at"	"MYL6"	"ENSG00000092841|ENST00000550184"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"MYL6|MYL6-216"	"GPL570"
"226537_at"	7.51e-10	2.89e-13	9.20755616	19.8795588	0.877	"226537_at"	"HINT3"	"ENSG00000111911"	"gene"	"protein_coding"	"HINT3"	"GPL570"
"207180_s_at"	8.18e-10	3.29e-13	9.1745256	19.7536969	0.439	"207180_s_at"	"HTATIP2"	"ENSG00000109854|ENST00000533914"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"HTATIP2|HTATIP2-209"	"GPL570"
"212456_at"	8.62e-10	3.63e-13	-9.15014069	19.6607223	-0.372	"212456_at"	"CLUH"	"ENSG00000132361"	"gene"	"protein_coding"	"CLUH"	"GPL570"
"208072_s_at"	1.22e-09	5.35e-13	-9.0524643	19.2878315	-0.328	"208072_s_at"	"DGKD"	"ENSG00000077044"	"gene"	"protein_coding"	"DGKD"	"GPL570"
"208858_s_at"	1.41e-09	6.45e-13	-9.00523241	19.1072557	-0.593	"208858_s_at"	"ESYT1"	"ENSG00000139641"	"gene"	"protein_coding"	"ESYT1"	"GPL570"
"214737_x_at"	1.42e-09	6.98e-13	8.9856047	19.0321667	0.32	"214737_x_at"	"HNRNPC"	"ENSG00000092199"	"gene"	"protein_coding"	"HNRNPC"	"GPL570"
"212787_at"	1.44e-09	7.4e-13	-8.97071827	18.9751973	-0.427	"212787_at"	"YLPM1"	"ENST00000549197|ENSG00000119596"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"YLPM1-204|YLPM1"	"GPL570"
"215714_s_at"	1.77e-09	9.38e-13	-8.91137023	18.7479175	-0.395	"215714_s_at"	"SMARCA4"	"ENST00000592604|ENST00000591595|ENST00000585799|ENST00000646889|ENST00000643929|ENSG00000127616"	"lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|retained_intron|retained_intron|retained_intron|protein_coding"	"SMARCA4-219|SMARCA4-217|SMARCA4-208|SMARCA4-251|SMARCA4-229|SMARCA4"	"GPL570"
"219283_at"	2.14e-09	1.18e-12	8.85472197	18.5307459	0.871	"219283_at"	"C1GALT1C1"	"ENSG00000171155"	"gene"	"protein_coding"	"C1GALT1C1"	"GPL570"
"223684_s_at"	2.47e-09	1.45e-12	8.80215779	18.3290368	0.4	"223684_s_at"	"SMUG1"	"ENST00000511854|ENST00000505662|ENSG00000123415|ENST00000635234"	"lnc_RNA|lnc_RNA|gene|lnc_RNA"	"retained_intron|processed_transcript|protein_coding|processed_transcript"	"SMUG1-219|SMUG1-211|SMUG1|SMUG1-224"	"GPL570"
"209127_s_at"	2.64e-09	1.64e-12	-8.77055625	18.207682	-0.491	"209127_s_at"	"SART3"	"ENST00000548582|ENST00000619503|ENST00000546808|ENST00000548077|ENSG00000075856"	"lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA|gene"	"retained_intron|retained_intron|retained_intron|retained_intron|protein_coding"	"SART3-211|SART3-216|SART3-205|SART3-209|SART3"	"GPL570"
"217811_at"	2.8e-09	1.8e-12	8.74854313	18.1231104	0.709	"217811_at"	"SELENOT"	"ENST00000466234|ENSG00000198843"	"lnc_RNA|gene"	"retained_intron|protein_coding"	"SELENOT-201|SELENOT"	"GPL570"
"200000_s_at"	2.83e-09	1.89e-12	-8.73563202	18.0734933	-0.5	"200000_s_at"	"PRPF8"	"ENSG00000174231"	"gene"	"protein_coding"	"PRPF8"	"GPL570"
"212028_at"	2.83e-09	1.94e-12	-8.72900483	18.0480211	-0.416	"212028_at"	"RBM25"	"ENSG00000119707|ENST00000532683"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"RBM25|RBM25-212"	"GPL570"
"221058_s_at"	2.93e-09	2.09e-12	8.71015601	17.9755592	0.717	"221058_s_at"	"CKLF"	"ENSG00000217555|ENST00000563092|ENSG00000254788"	"gene|lnc_RNA|gene"	"protein_coding|processed_transcript|protein_coding"	"CKLF|CKLF-208|CKLF-CMTM1"	"GPL570"
"212429_s_at"	3.2e-09	2.57e-12	-8.65918797	17.779511	-0.315	"212429_s_at"	"GTF3C2"	"ENSG00000115207"	"gene"	"protein_coding"	"GTF3C2"	"GPL570"
"204565_at"	3.51e-09	3.08e-12	8.61393647	17.6053232	0.533	"204565_at"	"ACOT13"	"ENSG00000112304|ENST00000476436"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"ACOT13|ACOT13-202"	"GPL570"
"201164_s_at"	3.93e-09	3.58e-12	-8.57610639	17.4596137	-0.392	"201164_s_at"	"PUM1"	"ENSG00000134644"	"gene"	"protein_coding"	"PUM1"	"GPL570"
"201072_s_at"	3.93e-09	3.62e-12	-8.57336909	17.4490674	-0.418	"201072_s_at"	"SMARCC1"	"ENSG00000173473|ENST00000425518"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"SMARCC1|SMARCC1-202"	"GPL570"
"209020_at"	3.93e-09	3.7e-12	8.56762946	17.4269523	0.531	"209020_at"	"OSER1"	"ENSG00000132823"	"gene"	"protein_coding"	"OSER1"	"GPL570"
"208598_s_at"	3.93e-09	3.74e-12	-8.5649394	17.4165868	-0.438	"208598_s_at"	"HUWE1"	"ENSG00000086758"	"gene"	"protein_coding"	"HUWE1"	"GPL570"
"212137_at"	3.96e-09	3.84e-12	-8.55853601	17.3919113	-0.432	"212137_at"	"LARP1"	"ENSG00000155506"	"gene"	"protein_coding"	"LARP1"	"GPL570"
"208689_s_at"	3.99e-09	3.94e-12	-8.55201593	17.3667838	-0.36	"208689_s_at"	"RPN2"	"ENST00000470352|ENSG00000118705"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"RPN2-208|RPN2"	"GPL570"
"202299_s_at"	4.67e-09	4.87e-12	8.49921172	17.163201	0.412	"202299_s_at"	"LAMTOR5"	"ENSG00000134248|ENST00000464240"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"LAMTOR5|LAMTOR5-202"	"GPL570"
"225850_at"	4.75e-09	5.04e-12	8.49062706	17.1300898	0.561	"225850_at"	"SFT2D1"	"ENST00000479490|ENSG00000198818|ENST00000487841|ENST00000478705"	"lnc_RNA|gene|lnc_RNA|lnc_RNA"	"processed_transcript|protein_coding|processed_transcript|processed_transcript"	"SFT2D1-203|SFT2D1|SFT2D1-204|SFT2D1-202"	"GPL570"
"203279_at"	4.79e-09	5.17e-12	-8.48426186	17.1055367	-0.364	"203279_at"	"EDEM1"	"ENSG00000134109"	"gene"	"protein_coding"	"EDEM1"	"GPL570"
