gene_name,SCZ.log2FC,SCZ.fdr
7SK,0.090867402,0.30406794
7SK,-0.027588509,0.813536945
7SK,-0.171578248,0.001865861
A1BG,0.01666422,0.649658683
A1BG-AS1,0.017693285,0.541848283
A2M,-0.223822493,5.25E-09
A2M-AS1,0.021084719,0.652894177
A2ML1,0.029244077,0.703223701
A2MP1,-0.111267224,0.235578562
A4GALT,0.18546289,0.000379889
AAAS,-0.012452774,0.555941465
AACS,0.001599559,0.947720169
AACSP1,0.04812114,0.506564588
AADAT,0.037524677,0.044619548
AAED1,-0.017549859,0.536428625
AAGAB,-0.014198296,0.325171025
AAK1,-0.005317186,0.807892087
AAMDC,-0.00022836,0.99462935
AAMP,0.032776165,0.008031077
AANAT,-0.025111305,0.834249892
AAR2,-0.011185281,0.574653601
AARD,-0.007700486,0.917446948
AARS,0.027389437,0.071650573
AARS2,0.005230194,0.838652856
AARSD1,0.022790389,0.25955743
AASDH,-0.000533145,0.981431261
AASDHPPT,0.002311917,0.893424705
AASS,0.015152714,0.693388646
AATF,0.040012483,0.027240974
AATK,-0.043280593,0.09246065
AATK-AS1,0.013944565,0.909035275
AB015752.3,-0.090739483,0.329367752
AB019441.29,0.018264822,0.88202427
ABAT,0.002527652,0.916783645
ABC7-42389800N19.1,0.013991998,0.890682598
ABCA1,0.053098821,0.145025852
ABCA10,-0.041372541,0.212467803
ABCA11P,-0.047638839,0.095829969
ABCA17P,0.084804755,0.002518284
ABCA2,-0.018190543,0.663224671
ABCA3,0.007743824,0.666192407
ABCA4,-0.073921441,0.173654374
ABCA5,-0.026678193,0.110036942
ABCA6,-0.034624139,0.540323562
ABCA7,-0.020020119,0.571703971
ABCA8,-0.105412741,0.078377576
ABCA9,-0.04564036,0.109172494
ABCB1,-0.099815108,0.006903543
ABCB10,-0.022382641,0.130796366
ABCB10P1,-0.080616608,0.470079687
ABCB4,-0.094579358,0.14683745
ABCB6,0.034349457,0.047669682
ABCB7,0.030517508,0.043029005
ABCB8,-0.040891459,0.001034687
ABCB9,-0.02705889,0.085511685
ABCC1,-0.000388292,0.98626981
ABCC10,-0.052167596,0.000792493
ABCC11,0.094654719,0.039572293
ABCC12,-0.140609503,9.03E-05
ABCC3,-0.156600216,0.00267407
ABCC4,0.036881433,0.287478358
ABCC5,-0.007866575,0.733893582
ABCC6,-0.022551905,0.757468364
ABCC6P1,0.061505482,0.306925002
ABCC6P2,0.105398063,0.357416043
ABCC8,-0.013924042,0.629005518
ABCC9,0.116937045,0.000672593
ABCD1,0.035776101,0.25926625
ABCD2,-0.051044806,0.053534233
ABCD3,0.003056027,0.890548207
ABCD4,0.059642936,0.000267825
ABCE1,-0.014201346,0.238702501
ABCF1,-0.021521531,0.171851877
ABCF2,0.008478256,0.535660629
ABCF2P1,0.094259066,0.26643049
ABCF3,0.01069007,0.454513474
ABCG1,0.011572342,0.728323531
ABCG2,-0.34336264,5.33E-12
ABCG4,-0.000783572,0.979696437
ABCG5,-0.016157856,0.842723887
ABCG8,0.05390119,0.335044408
ABHD1,0.034958,0.62818724
ABHD10,0.002065853,0.90253739
ABHD11,-0.016226798,0.52860498
ABHD12,-0.000192168,0.991726148
ABHD12B,0.00031539,0.993757824
ABHD13,0.014776348,0.385431327
ABHD14A,0.012404999,0.584228466
ABHD14A-ACY1,0.001161638,0.991140427
ABHD14B,0.011477442,0.675887515
ABHD15,0.062693491,0.036778836
