sitelink	item	itemLabel	go	gene_symbol	entrez	ensembl_gene_id
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	AGPAT1	10554	ENSG00000204310
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	AGPAT1	10554	ENSG00000206324
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	AGPAT1	10554	ENSG00000226467
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	AGPAT1	10554	ENSG00000227642
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	AGPAT1	10554	ENSG00000228892
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	AGPAT1	10554	ENSG00000235758
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	AGPAT1	10554	ENSG00000236873
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	AGPAT2	10555	ENSG00000169692
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	ACAD10	80724	ENSG00000111271
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	NT5C2	22978	ENSG00000076685
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	MGAM2	93432	ENSG00000257743
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	MGAM2	93432	ENSG00000278563
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	SPACA5B	729201	ENSG00000171478
https://en.wikipedia.org/wiki/Metabolism	http://www.wikidata.org/entity/Q1057	metabolism	GO:0008152	PLA2G4B	100137049	ENSG00000243708
