""	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Probes"	"Symbol"	"Ensembl_id"	"Biotype1"	"Biotype2"	"Synonyms"	"Platform"
"208659_at"	1.69e-23	6.18e-28	-12.3	52.618606	-0.415	"208659_at"	"CLIC1"	"ENSG00000213719"	"gene"	"protein_coding"	"CLIC1"	"GPL570"
"226537_at"	2.37e-23	1.93e-27	-12.1	51.506945	-0.747	"226537_at"	"HINT3"	"ENSG00000111911"	"gene"	"protein_coding"	"HINT3"	"GPL570"
"225195_at"	2.37e-23	2.5e-27	-12.1	51.252162	-0.854	"225195_at"	"DPH3"	"ENSG00000154813|ENST00000285082|ENST00000462982"	"gene|lnc_RNA|lnc_RNA"	"protein_coding|processed_transcript|processed_transcript"	"DPH3|DPH3-201|DPH3-203"	"GPL570"
"212082_s_at"	2.37e-23	2.6e-27	-12.1	51.212414	-0.583	"212082_s_at"	"MYL6"	"ENSG00000092841|ENST00000550184"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"MYL6|MYL6-216"	"GPL570"
"216231_s_at"	2.93e-23	3.76e-27	-12	50.853668	-0.316	"216231_s_at"	"B2M"	"ENST00000560681|ENST00000559220|ENSG00000166710|ENST00000559720|ENST00000559907"	"lnc_RNA|lnc_RNA|gene|lnc_RNA|lnc_RNA"	"retained_intron|processed_transcript|protein_coding|retained_intron|processed_transcript"	"B2M-209|B2M-204|B2M|B2M-205|B2M-206"	"GPL570"
"224372_at"	3.07e-23	4.5e-27	12	50.67596	0.397	"224372_at"	"MT"	"ENSG00000198886"	"gene"	"protein_coding"	"MT-ND4"	"GPL570"
"225849_s_at"	1.7e-22	3.42e-26	-11.8	48.6934	-0.473	"225849_s_at"	"SFT2D1"	"ENST00000479490|ENSG00000198818|ENST00000487841"	"lnc_RNA|gene|lnc_RNA"	"processed_transcript|protein_coding|processed_transcript"	"SFT2D1-203|SFT2D1|SFT2D1-204"	"GPL570"
"202300_at"	1.94e-22	4.26e-26	-11.7	48.478805	-0.408	"202300_at"	"LAMTOR5"	"ENSG00000134248|ENST00000464240"	"gene|lnc_RNA"	"protein_coding|retained_intron"	"LAMTOR5|LAMTOR5-202"	"GPL570"
"200096_s_at"	5.04e-22	1.36e-25	-11.6	47.34258	-0.336	"200096_s_at"	"ATP6V0E1"	"ENSG00000113732"	"gene"	"protein_coding"	"ATP6V0E1"	"GPL570"
"219283_at"	8.69e-22	2.71e-25	-11.5	46.67051	-0.734	"219283_at"	"C1GALT1C1"	"ENSG00000171155"	"gene"	"protein_coding"	"C1GALT1C1"	"GPL570"
"225157_at"	2.3e-21	7.59e-25	11.4	45.662202	0.43	"225157_at"	"MLXIP"	"ENSG00000175727"	"gene"	"protein_coding"	"MLXIP"	"GPL570"
"207966_s_at"	2.51e-21	9.34e-25	11.3	45.458509	0.527	"207966_s_at"	"GLG1"	"ENSG00000090863"	"gene"	"protein_coding"	"GLG1"	"GPL570"
"204170_s_at"	2.51e-21	9.66e-25	-11.3	45.42531	-1.15	"204170_s_at"	"CKS2"	"ENSG00000123975"	"gene"	"protein_coding"	"CKS2"	"GPL570"
"228437_at"	8.34e-21	3.67e-24	-11.2	44.121703	-0.547	"228437_at"	"CNIH4"	"ENSG00000143771|ENST00000468318"	"gene|lnc_RNA"	"protein_coding|processed_transcript"	"CNIH4|CNIH4-206"	"GPL570"
