""	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Probes"	"Symbol"	"Ensembl_id"	"Biotype1"	"Biotype2"	"Synonyms"	"Platform"
"ILMN_1755092"	3.41e-06	7.01e-11	9.3120992	14.07636	0.694	"ILMN_1755092"	"FAM110A"	"ENSG00000125898"	"gene"	"protein_coding"	"FAM110A"	"GPL6102"
"ILMN_1730628"	1.01e-05	4.15e-10	-8.6517133	12.52295	-1.35	"ILMN_1730628"	"RNASE2"	"ENSG00000169385"	"gene"	"protein_coding"	"RNASE2"	"GPL6102"
"ILMN_1729801"	3.47e-05	2.14e-09	-8.0603469	11.07415	-1.54	"ILMN_1729801"	"S100A8"	"ENSG00000143546"	"gene"	"protein_coding"	"S100A8"	"GPL6102"
"ILMN_1714991"	0.000227	2.3e-08	-7.2283551	8.94987	-1.03	"ILMN_1714991"	"S100A9"	"ENSG00000163220"	"gene"	"protein_coding"	"S100A9"	"GPL6102"
"ILMN_1718610"	0.0002716	3.8e-08	7.0560083	8.49843	0.692	"ILMN_1718610"	"ARHGAP17"	"ENSG00000140750|ENST00000573703|ENST00000570320|ENST00000575283"	"gene|lnc_RNA|lnc_RNA|lnc_RNA"	"protein_coding|retained_intron|retained_intron|retained_intron"	"ARHGAP17|ARHGAP17-213|ARHGAP17-204|ARHGAP17-215"	"GPL6102"
"ILMN_1673215"	0.00045161	1.1e-07	6.6928885	7.53609	0.503	"ILMN_1673215"	"PCBP1"	"ENSG00000169564"	"gene"	"protein_coding"	"PCBP1"	"GPL6102"
"ILMN_1735930"	0.00045161	1.12e-07	6.6859706	7.51762	0.473	"ILMN_1735930"	"KLF2"	"ENSG00000127528"	"gene"	"protein_coding"	"KLF2"	"GPL6102"
"ILMN_1787461"	0.00045161	1.15e-07	6.6791765	7.49948	0.934	"ILMN_1787461"	"RUNX3"	"ENSG00000020633"	"gene"	"protein_coding"	"RUNX3"	"GPL6102"
"ILMN_1769118"	0.00045161	1.21e-07	6.6619784	7.45352	0.596	"ILMN_1769118"	"SEPTIN9"	"ENSG00000184640"	"gene"	"protein_coding"	"SEPTIN9"	"GPL6102"
"ILMN_2038776"	0.00056129	1.61e-07	-6.5632528	7.18918	-1.07	"ILMN_2038776"	"TXN"	"ENSG00000136810"	"gene"	"protein_coding"	"TXN"	"GPL6102"
"ILMN_1703791"	0.00061649	1.92e-07	6.5051116	7.03308	0.386	"ILMN_1703791"	"ANXA7"	"ENST00000463788|ENSG00000138279"	"lnc_RNA|gene"	"processed_transcript|protein_coding"	"ANXA7-204|ANXA7"	"GPL6102"
"ILMN_1702273"	0.00061649	2.03e-07	6.4864223	6.98283	0.864	"ILMN_1702273"	"HNRNPH1"	"ENST00000524179|ENST00000521720|ENSG00000169045|ENST00000502904|ENST00000515481|ENST00000514332|ENST00000502632"	"lnc_RNA|lnc_RNA|gene|lnc_RNA|lnc_RNA|lnc_RNA|lnc_RNA"	"retained_intron|retained_intron|protein_coding|retained_intron|retained_intron|retained_intron|retained_intron"	"HNRNPH1-248|HNRNPH1-240|HNRNPH1|HNRNPH1-206|HNRNPH1-227|HNRNPH1-223|HNRNPH1-205"	"GPL6102"
